song_id,title,artist,album,duration,popularity,release_date
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",171,11,2024-05-31
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155,99,2024-04-26
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),Post Malone,I Had Some Help,178,96,2024-05-10
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,175,100,2024-04-12
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,179,96,2024-05-17
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210,94,2024-05-17
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,274,98,2024-05-04
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,BAND4BAND (feat. Lil Baby),140,85,2024-05-23
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180,91,2024-04-05
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,Unreal Unearth: Unheard,251,90,2024-03-22
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,Houdini,227,0,2024-05-31
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Pink Skies,194,84,2024-05-24
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,142,98,2024-03-19
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,228,95,2024-04-18
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,What Happens Now?,171,92,2024-02-16
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,303,95,2024-05-17
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,172,89,2024-05-10
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),210,92,2023-09-15
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,182,92,2022-10-14
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,Belong Together,148,92,2024-02-16
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,159,96,2022-09-16
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,Scared To Start,159,90,2024-01-12
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,227,90,2023-08-25
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,228,93,2024-03-08
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,Fireworks & Rollerblades,161,90,2024-04-05
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,218,90,2024-04-18
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,261,91,2024-05-17
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,178,94,2019-08-23
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,Something in the Orange,228,88,2022-04-22
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",218,91,2024-04-05
2tudvzsrR56uom6smgOcSf,Like That,Future,WE DON'T TRUST YOU,267,94,2024-03-22
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,Dream Your Life Away,204,84,2014-09-08
2prqm9sPLj10B4Wg0wE5x9,BLUE,Billie Eilish,HIT ME HARD AND SOFT,343,90,2024-05-17
6fPan2saHdFaIHuTSatORv,L’AMOUR DE MA VIE,Billie Eilish,HIT ME HARD AND SOFT,333,90,2024-05-17
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,One Thing At A Time,163,84,2023-03-03
