song_id,title,artist,album,duration,popularity,release_date
6RjSXi9cPGroetXeNsWFGL,MTG QUEM NÃO QUER SOU EU,DJ TOPO,MTG QUEM NÃO QUER SOU EU,123,83,2024-05-10
6hNREzgHbVM5AkGwP4SPmU,FALTA DE QUÊ?,Luan Pereira,FALTA DE QUÊ?,152,79,2024-05-16
7IFsTX5H1sWcEl8joV0IdD,THE BOX MEDLEY FUNK 2,THE BOX,THE BOX MEDLEY FUNK 2,266,82,2024-04-18
6cFW2FPaUL4YRJfS9zFJaV,Dois Tristes - Ao Vivo,Simone Mendes,Simone Mendes - Só Hits,189,78,2024-04-04
4VNRWHoiKHZJIoQHPbmJIv,Gosta De Rua - Ao Vivo,Felipe e Rodrigo,Questão de Tempo (Ao Vivo / Parte 1),171,69,2024-05-03
3w392XWJ5bXzjcCR2Dmvqn,Foi Intenso - Ao Vivo,Zé Neto & Cristiano,Foi Intenso (Ao Vivo),132,81,2024-05-01
027ielmg4mNR1p1Ds3Mvgh,Não Vou Namorar,DJ Ws da Igrejinha,Não Vou Namorar,162,84,2024-01-19
6X6jKoyw1OjogRghMEQAZV,Haverá Sinais - Ao Vivo,Jorge & Mateus,Haverá Sinais (Ao Vivo),190,84,2024-02-14
5GV7OpSEb8MPTryL0Q5i6c,Mtg Quero Te Encontrar,DJ JZ,Mtg Quero Te Encontrar,177,85,2024-02-23
6W196uVRkmQFHbc1XV8DNk,Sonho Dela (Cowboy),CountryBeat,Sonho Dela (Cowboy),113,75,2024-05-03
106SKHXoytRADjpxHBkJpV,Mtg Forró e Desmantelo,dj sv,Mtg Forró e Desmantelo,149,80,2024-03-20
0WiJIa3V9GdcJfcy1FhLjp,Deu Moral - Ao Vivo,Zé Neto & Cristiano,Deu Moral (Ao Vivo),122,82,2024-04-11
3QpDKVHmf9RDQkJbAUNWzI,Digitando,Gustavo Moura & Rafael,Digitando,195,88,2023-06-23
4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,Simone Mendes,Cintilante (Ao Vivo / Vol.2),173,77,2023-10-20
35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,Manu,Daqui pra Sempre,202,81,2023-09-22
6P1mkNAmgihFwFRBhpaev3,ENTRA NA DEFENDER,Luan Pereira,ENTRA NA DEFENDER,174,84,2024-03-21
0cvVetonbe66pOOPMtuSOC,Vamo Marolar,L7NNON,IRRASTREÁVEL,181,75,2024-03-28
0Q1ySdDoHDiotYn4nbMXNm,CONFISSÕES PT2,Nagalli,MAGIC SHOW,145,80,2024-04-25
1WHDOr19zyyqu6XXIvdgfX,Morena De Goiânia - Ao Vivo,Hugo & Guilherme,062 (Ao Vivo),166,80,2024-03-21
5r0JHIjcY7dLWHkljNeQbj,Anestesiado - Ao Vivo,Murilo Huff,"Fortaleza, Vol.2 (Ao Vivo)",172,69,2024-03-28
24R0oyjvhV4HIFFvoK3XkP,TUMBÁTUM,Tropa do Bruxo,Baile do Bruxo (DELUXE),121,80,2023-12-22
2RX89Di479sc53wkaNgt9E,Vazou Na Braquiara - Ao Vivo,Hugo & Guilherme,062 (Ao Vivo),164,72,2024-03-21
3kBYuWrGtx1tSHjzr0vlZh,Sorriso no Rosto,Mc IG,Sorriso no Rosto,148,63,2024-05-28
6Gn8SHd3RIWjOermcidCJk,A Internet É Toxica,Dj Lc,A Internet É Toxica,161,80,2023-08-29
3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,Henrique & Juliano,To Be (Ao Vivo),178,73,2023-12-15
1Jhkk1FIV7tMH9CZATjxrf,Equivocada - Ao Vivo,Traia Véia,Equivocada (Ao Vivo),207,81,2024-03-21
42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,"Escolhas, Vol. 2 (Ao Vivo)",133,81,2023-06-22
7ldcYtMOjtX1eFVEYzj2kJ,Sagrado Profano,Luísa Sonza,Escândalo Íntimo,196,65,2024-05-28
6Szybvvxu3Hd0PfTR1EzwS,MINHA EX,Zé Felipe,MINHA EX,134,79,2024-05-02
0ODlZu2uJ13I29NfFJJVir,PEGA ESCANDALOSO,Luan Santana,PEGA ESCANDALOSO,157,80,2024-03-28
1BpnfIGAoWr04mls61Hf5n,Amor Diferente - Ao Vivo,Thiago e Samuel,Amor Diferente (Ao Vivo),175,81,2024-04-26
3hfCle1QRfbwIpQ1B746lV,Aquariano Nato,MC Saci,Funktroit,116,81,2023-07-25
5jrQZnYInM6YUjr2yFSa3E,Vem Desestressar,MC PH,"O Cara Do Momento, Vol. 2",243,74,2024-04-10
2ORC76autQ7QTfBCkZl4Wo,Dedo do Meio - Ao Vivo,Murilo Huff,"Fortaleza, Vol.2 (Ao Vivo)",167,80,2024-03-28
7j0N4df9g0jECdfSR07elf,Vem Desestressar,Eric Land,Vem Desestressar,115,77,2024-05-03
6r6wTVl7sBndpdlzBSEYnF,Lua,Ana Castela,Boiadeira Internacional (Ao Vivo),206,71,2024-02-23
5u7Xi0QhfkYy3qETJJ5lae,Samba de Malandro,MC Paulin da Capital,Samba de Malandro,300,80,2024-03-14
5mJcnekfy4DEpAZ6uAHM7Y,Casca de Bala,Thullio Milionário,A Cara das Vaquejadas 3.0,133,80,2024-03-01
45czXKyGyd9g060ogyRjx3,Ninguém Sabe,Wesley Safadão,Tá Falando ou Tá Fazendo?,181,83,2024-04-05
5brVlCCt8gp4pP0iJOOctj,Melhor Vibe,MC Ryan SP,Melhor Vibe,341,79,2024-03-20
2VUUzKS50OxWyTRu1J0YKH,Não Recomendo - Ao Vivo,Matheus & Kauan,Praiou (Ao Vivo / Vol.2),141,57,2024-05-24
2IvsDK2p7Kq3aDrVtESDIg,Fronteira - Ao Vivo,Ana Castela,Boiadeira Internacional (Ao Vivo),166,70,2024-02-23
2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,Lauana Prado,Raiz Goiânia (Ao Vivo),265,80,2023-10-12
7pnqm6UEb7SzpDxb53wULT,Diz Aí Qual é o Plano?,Mc IG,Todo Mundo Odeia o IG,703,73,2024-03-21
0VybBobSYSzliyEJ1VqwGR,Problemas de um Milionário,WIU,Problemas de um Milionário,144,79,2024-04-10
6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,Simone Mendes,Cintilante (Ao Vivo / Vol.2),178,75,2023-10-20
2BPZCE8hyWgaURPxQNA7pq,Péssima Hora - Ao Vivo,Jefferson Moraes,Vegas In Goiânia (Ao Vivo),177,80,2023-12-08
5asabafNzfAzjUecDvuNES,Aquela Pessoa - Ao Vivo,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),166,77,2017-07-07
4wSTfsWPyHOUbJAiMVJ6Wz,Oi Vida - Ao Vivo,Gusttavo Lima,Paraíso Particular (Ao Vivo),132,75,2024-04-11
5y7yYXNSsT89A27DQxbmUL,Covardia,Wesley Safadão,Covardia,150,76,2023-03-30
4dLLdfiniBhDP9dlJQIOi4,"Perdonarte, ¿Para Qué?",Los Ángeles Azules,"Perdonarte, ¿Para Qué?",193,72,2024-05-23
7D7CiwAGCkGi9sQYyCLhxh,HOY,The La Planta,HOY,177,69,2024-05-16
3cWo162YkfLIFyB3DWbVoH,Tu Foto - En Vivo,Valentino Merlo,Tu Foto,180,71,2024-05-16
2RmtEc2ZNDCzAU3vH0AbKx,Ojos Verdes,Nicki Nicole,Ojos Verdes,142,79,2024-04-24
3sra6aEWWDXUiy46fWQobH,IMAN (Two Of Us),Maria Becerra,IMAN (Two Of Us),122,75,2024-05-16
5rQSQlZXXjMcevPGoAfE1z,Un Besito Más,Salastkbron,Un Besito Más,160,78,2024-03-14
3GD6eImRvT0zgr8cQnokUq,"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi,"BESAME (feat. Tiago PZK, Khea & Neo Pistea) [Remix]",284,84,2024-04-16
4wS0TnQzVkY9ML1BPKpOk1,Piel,Tiago PZK,Piel,141,85,2024-02-01
7bywjHOc0wSjGGbj04XbVi,LUNA,Feid,FERXXOCALIPSIS,196,92,2023-12-01
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,Gata Only,222,98,2024-02-02
6a9Z1jUms915w4O7N1PxjY,Santa,Rvssian,Santa,193,77,2024-04-03
7JKptWv4YXmievid0HajID,HOLA PERDIDA,Luck Ra,QUE NOS FALTE TODO,166,74,2024-02-02
4DDmzgsqbZ2qwKbOnV9Bzp,Tumba,Thomy DJ,Tumba,180,69,2023-08-19
0GVPemmAwkXhFlYimhdDr3,30 GRADOS,El Turko,30 Grados,151,78,2024-01-26
4jn3R3KF5hx2fCiXlj89yE,FLECHAZO EN EL CENTRO,YSY A,TU DUO FAVORITO,185,77,2023-09-06
0mJRX0WnqWlu8Boe7gpQ1P,Tal Para Cual,Salastkbron,Tal Para Cual,151,76,2024-01-11
4yyCGGdTVaYG17vhsrUPoL,APAGA EL CEL,FloyyMenor,APAGA EL CEL,184,79,2024-05-17
2FqTbwiogEVvZnkarPf5BV,HOLA PERDIDA REMIX,Luck Ra,HOLA PERDIDA REMIX,201,0,2024-05-31
42mrOMjkQb7jRKatu0bqg4,Mil Preguntas,Q' Lokura,Mil Preguntas,166,72,2024-04-11
6Es8Sk3xe1HiJ2MXCfHHwR,La_Original.mp3,Emilia,.mp3,140,79,2023-11-03
5f4mOETLngamMDTJnbF9s7,Exclusive.mp3,Emilia,.mp3,120,77,2023-11-03
2eV3pmYGM1bm1vWHc0t8WF,UH LA LA LA,DobleP,UH LA LA LA,167,74,2024-03-21
43PiEypaceH339CSNiggyj,BBY BOO - REMIX,iZaak,BBY BOO (REMIX),275,86,2024-03-27
4YntVuBqggRsASIbBoWT3F,Mil Preguntas,The La Planta,Mil Preguntas,177,75,2024-03-07
1TyBUtMxdmRfXhW3MmbxtQ,QUE ME FALTE TODO,Luck Ra,QUE NOS FALTE TODO,165,71,2024-02-02
7s4emXHJwAuo5VvGBXmnBL,offline,Young Miko,att.,201,88,2024-04-05
10zSgbysU2KyVTrcRmtu62,Por Mil Noches,Airbag,Libertad,283,74,2013-11-27
5Uptvz6j1sjDKxidAcnH2L,SI NO ES CONTIGO,Cris Mj,SI NO ES CONTIGO,156,80,2024-05-23
1pymWRCuZfCd0zdiBJo0Hj,REAL GANGSTA LOVE,Trueno,EL ÚLTIMO BAILE,145,71,2024-05-23
2xbH0CuDbid800YW5nMPzR,SINVERGÜENZA - con Angela Torres,Emanero,SINVERGÜENZA - con Angela Torres,217,73,2023-12-05
1905loqmX0pSFPMbA9rc1f,GAFITA Y CHOMBA,Ponte Perro,GAFITA Y CHOMBA,192,73,2024-01-18
