song_id,title,artist,album,duration,popularity,release_date
6IcsbETuviVu6UTiBTcxY4,Imagine,Carbonne,Imagine,165,82,2024-05-03
2fFTn0f94EopgZyfSGQuyK,SPIDER,GIMS,SPIDER,188,79,2024-05-10
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,Gata Only,222,98,2024-02-02
7GCU3DlRW3s65f6JjNBrM4,Mélanine,Heuss L'enfoiré,Mélanine,180,75,2024-05-03
6jElwivDtkQUv9QFGrdN26,Boucan (feat. Franglish),KeBlack,Boucan (feat. Franglish),171,77,2024-04-25
6yqwxY8qifBBhyryjZutxk,MAMI WATA,Gazo,LA MELO EST GANGX,233,79,2023-12-01
0y2JXGqNraYN2gbnSLguWk,Prequel,SCH,JVLIVS Prequel : Giulio,210,40,2024-05-31
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180,91,2024-04-05
1eldTykrnkEBLX41bk5eMw,Petit génie,Jungeli,Petit génie,217,80,2023-08-04
5bww9Wf6TszHmZVooMR5um,Hakayet,VEN1,Hakayet,155,72,2023-11-20
7EMzOyDT87Uq9Hi08Mxe31,Wayeh,THEODORT,Imad,148,62,2024-05-24
6XvpC5A373UZAKJOHRryB4,Cannelloni,SCH,JVLIVS Prequel : Giulio,198,33,2024-05-31
3FBK5C9PDmXIukYFXvZOe2,Crois-moi,SCH,JVLIVS Prequel : Giulio,270,39,2024-05-31
3Zw66L4FvI9YUUx17OReRD,Position,Franglish,Prime,141,79,2024-02-15
1LY3GhF0zxIVgbYEQjCbUO,The Sound of Silence - CYRIL Remix,Disturbed,The Sound of Silence (CYRIL Remix),185,87,2024-02-02
728naE39s7fFMKVSk4TO0f,Garcimore,SCH,JVLIVS Prequel : Giulio,183,38,2024-05-31
1AhPGKrgOcdRfTGABLzl2i,Les hommes aux yeux noirs,SCH,JVLIVS Prequel : Giulio,213,37,2024-05-31
6zUuYG5WmHSHNoZQ13TiT2,Michael Jordan,DA Uzi,Michael Jordan,223,73,2024-03-08
7yz9tcPQngQ19yAmRfQG7U,SURVIE,Maes,SURVIE,174,69,2024-05-23
3yFsH5tpqqZwdFOwgJOqJz,Beaux arts,SCH,JVLIVS Prequel : Giulio,175,36,2024-05-31
7wwQoJtPLBVeMIZlW11cp6,Oh qu'elle est belle,Jul,Décennie,220,74,2024-01-19
17IQyMYDXwLTYeO9Soufk6,Quoi,SCH,JVLIVS Prequel : Giulio,167,36,2024-05-31
3rIX5DA9rUk89KUOZdGFaN,Tu connais,Werenoi,Telegram 2,169,72,2023-09-21
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,142,98,2024-03-19
0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,CYRIL,Stumblin' In,213,88,2023-11-10
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),210,92,2023-09-15
3KZN01EuBoqh04jyGXpnxr,Aucune attache,KeBlack,Aucune attache,161,75,2024-02-02
3w3ccBSWumRfMn2lYEwZLi,Confidences,Vacra,Confidences,128,70,2024-05-09
2UttJU2e3ZBKs3ffvqQgXB,Balafres,SCH,JVLIVS Prequel : Giulio,196,35,2024-05-31
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,175,100,2024-04-12
3KQQXfX6dUaVOW75a1IOLG,Shaggy,Zed,Malcom,203,30,2024-05-31
4BVcVEp6Df9VQN5qFwxDn3,Mon amour,Slimane,Essentiels,181,69,2024-05-09
5Pzh42xn3oAXHh4U7tVHMr,Ceux qu'on était,Pierre Garnier,Ceux qu'on était,174,76,2024-02-07
0WtqU8HpSQgERzQlQQjzds,Le baptême,SCH,JVLIVS Prequel : Giulio,129,39,2024-05-31
47K9ad3Ahx94WR9LCPABrB,Gris,SCH,JVLIVS Prequel : Giulio,178,35,2024-05-31
6jDe94y1dbLDU53Q1NPxLH,I love you,Dadju,HÉRITAGE,237,68,2024-02-16
4GIqLQF1yjP6FyBdlCer1m,Ciel bleu,SCH,JVLIVS Prequel : Giulio,270,34,2024-05-31
0FPYbB26t0KUBfhOetdCqB,La recette,SCH,JVLIVS Prequel : Giulio,139,35,2024-05-31
2NHDFeOGW2vbSPDYgIaHpZ,Jimmy Twice,SCH,JVLIVS Prequel : Giulio,191,34,2024-05-31
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,179,96,2024-05-17
