song_id,title,artist,album,duration,popularity,release_date
4gxAezF8MafmWSZ0KCsRGj,Mittelmeer,Pashanim,Mittelmeer,179,78,2024-05-23
3pozbs4ftvkHCCqFCKwzsE,BLAQ ON BLAQ (feat. Luciano),HoodBlaq,BLAQ ON BLAQ (feat. Luciano),222,42,2024-05-30
16f4ZN6XOfrIO8fJkm28HM,Wunder,AYLIVA,Wunder,176,83,2024-04-26
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,142,98,2024-03-19
2gOVXniOMdunVdYk2NUQ4p,wie du manchmal fehlst,Zartmann,wie du manchmal fehlst,131,72,2024-05-24
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,Houdini,227,0,2024-05-31
3pPMgoouYtezLiBTEeL9be,VEMPA,FOURTY,VEMPA,134,79,2024-04-19
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,Gata Only,222,98,2024-02-02
48lxT5qJF0yYyf2z4wB4xW,Pedro,Jaxomy,Pedro,144,91,2024-03-29
1NifMX1JqCz9caJowG8dxq,"ZEIT, DASS SICH WAS DREHT",$OHO BANI,"ZEIT, DASS SICH WAS DREHT",153,78,2024-02-23
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,BAND4BAND (feat. Lil Baby),140,85,2024-05-23
51pcLHUrYjfY3bmKfPTtf8,Riechst du das,Gzuz,Riechst du das,144,70,2024-05-23
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,172,89,2024-05-10
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,179,96,2024-05-17
52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,Gigi D'Agostino,L'Amour Toujours,242,77,2001-05-23
13Ozua7wPk2dU3NIIgJJJo,80qm,Nina Chuba,80qm,139,70,2024-05-24
6S95L5dj73a4q79KFRDcAw,Liebe in Stereo,Baby B3ns,Liebe in Stereo,190,38,2024-05-31
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155,99,2024-04-26
61qNgUkD4ThD2DrmQSTH0X,Pistoleta,Olexesh,Augen Husky 2,133,63,2024-05-09
5MnpPgnUEiJMMa5WzbLOWe,Meine Augen,Jazeek,Meine Augen,136,37,2024-05-31
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,Unreal Unearth: Unheard,251,90,2024-03-22
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180,91,2024-04-05
