song_id,title,artist,album,duration,popularity,release_date
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")",Ram Sampath,"Sajni (From ""Laapataa Ladies"")",170,80,2024-02-12
34Fh4HXZmnuBdtgejWUZg2,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Jaani,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",281,74,2024-05-14
1a1xLj9W8libnO9PvJf6ao,Illuminati,Sushin Shyam,Aavesham (Original Motion Picture Soundtrack),212,72,2024-04-19
1tf2iody5iRLYYPDSBpzRc,Soulmate,Badshah,Ek Tha Raja,213,81,2024-03-18
1eZefeDb8uOsjvcbl1fJrG,"Naina (From ""Crew"")",Diljit Dosanjh,"Naina (From ""Crew"")",180,81,2024-03-05
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")",Arijit Singh,"Satranga (From ""ANIMAL"")",271,82,2023-10-27
7yDHHVKLbvDmVw1XXhDDIO,Pehle Bhi Main,Vishal Mishra,ANIMAL,250,83,2023-11-24
3FqtduiaqnFYvBgKuc6QWQ,Winning Speech,Karan Aujla,Winning Speech,227,76,2024-05-16
0M0ANKNzmM4Odd7FNKghzW,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",171,80,2024-01-19
3xMHXmedL5Rvfxmiar9Ryv,Chaleya,Anirudh Ravichander,Jawan,200,75,2023-09-05
0TL0LFcwIBF5eX7arDIKxY,Husn,Anuv Jain,Husn,217,80,2023-12-01
2ceeTJAzKy295Fm0VsaXtE,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",264,77,2024-02-02
7KQdgW7QzNd9oPoCzjCU76,Bandana,Shubh,Bandana,154,78,2024-03-29
0TrsGqtFXMWCrF9pPMICY9,Paon Ki Jutti,Jyoti Nooran,Paon Ki Jutti,208,62,2024-05-06
6bmmHeCvZI92pRiTHxEdTC,O Maahi,Pritam,Dunki,233,73,2023-12-20
0XRb6eZE4dBIJdqwf1Mixu,Suniyan Suniyan,Juss,Suniyan Suniyan,197,69,2024-04-12
1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),261,72,2022-12-06
0UZLaEOSIc5kg0cc7eszqC,Manjha,Vishal Mishra,Manjha,191,77,2020-03-17
5PUXKVVVQ74C3gl5vKy9Li,Heeriye (feat. Arijit Singh),Jasleen Royal,Heeriye (feat. Arijit Singh),194,79,2023-07-25
2q9lPN7CT92W1Ry77j2acn,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Rocky Aur Rani Kii Prem Kahaani,246,69,2023-08-14
5ZLkihi6DVsHwDL3B8ym1t,One Love,Shubh,One Love,159,78,2023-08-18
3zSSCPpLZ5Oc8nelhhGjKz,Tu hai kahan,AUR,Tu hai kahan,263,78,2023-10-16
0645eBDehHcqfiF15hscQV,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",223,78,2023-03-17
