song_id,title,artist,album,duration,popularity,release_date
2Q4Z2js0C6DDUVc7GuLGdF,SESSO E SAMBA (feat. Gaia),Tony Effe,ICON,167,61,2024-05-22
0GgIXlhkacCRh30t2Se92q,SEXY SHOP,Fedez,SEXY SHOP,188,43,2024-05-31
5LDmD4cFF0C8BCf3tVvyBW,Beatrice (feat. Annalisa),Tedua,La Divina Commedia (Deluxe),183,72,2024-05-24
7kS2AVRk5Yj6BTj8PyJFfC,Paprika,Ghali,Paprika,148,75,2024-05-10
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,Gata Only,222,98,2024-02-02
0lXVWzLwDnKB7Ro5p0AJPg,COME UN TUONO (feat. Guè),Rose Villain,RADIO SAKURA,175,80,2024-03-08
0PnIaRhEUne93rWxeHgV70,BBE (feat. Lazza),ANNA,BBE (feat. Lazza),198,75,2024-05-09
5eyL6waluu7hXrRrWewBFU,30ºC,ANNA,30ºC,142,40,2024-05-30
2mU3I4jfQp1K14JO2PmmQA,DOPO LE 4 (feat. Bresh & Tedua),Tony Effe,ICON,182,79,2024-03-15
2bkz0YDgPTNOto5OhskjbS,EL PIBE DE ORO,Geolier,EL PIBE DE ORO,155,75,2024-05-10
0ZjxK3xSqyFEDKMMnA7fyl,MIU MIU,Tony Effe,ICON,147,79,2024-03-15
01XexSX2HDgVDxnnHEBblB,Devastante,Olly,Devastante,190,76,2024-03-08
31ePh9rOTkIERrloY8BUUc,Respiro,Tony Boy,Respiro,155,44,2024-05-31
5bXgMzxuNymWhpwkgvYn4O,100 MESSAGGI,Lazza,100 MESSAGGI,244,80,2024-02-27
1zp4TEQ9zaNGXTjY6fsz1p,Soldi Arrotolati (feat. ANNA),Capo Plaza,FERITE,151,76,2024-05-03
4fFgeSZzTn58kUawHfW532,Mare Calmo,Tedua,La Divina Commedia (Deluxe),147,71,2024-05-24
50okpBf3MvXr4FyWB6jJIK,Torcida,Bresh,Torcida,174,73,2024-05-10
0vjcqQVb6nhk1A4lvW6ytN,L'ULTIMA POESIA,Geolier,L'ULTIMA POESIA,228,79,2024-03-22
5y7dpbKf0E3TW93k5w0JIs,melodrama,Angelina Mango,poké melodrama,147,24,2024-05-31
4OqRBVQcEXwKCj5d7ztx6Z,Kill Bill,Tedua,La Divina Commedia (Deluxe),136,69,2024-05-24
5eV8XfvbR9bsFqG1jvvNmw,"Jolly Roger (feat. Izi, Disme, Bresh & Vaz Tè)",Tedua,La Divina Commedia (Deluxe),244,70,2024-05-24
3JXgSnBQCLWjnyx6XAF0R9,First Day Out,Shiva,First Day Out,171,71,2024-05-22
3j1453KrdHjw7y4gnBj7nF,"I P’ ME, TU P’ TE",Geolier,"I P’ ME, TU P’ TE",187,77,2024-02-07
