song_id,title,artist,album,duration,popularity,release_date
78W4mTLIh4qoLu92W4IQhO,ライラック,Mrs. GREEN APPLE,ライラック,288,79,2024-04-11
0kdqcbwei4MDWFEX5f33yG,Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,168,86,2024-01-07
6AvwRrfNtvWMG4w3MfKEoi,初恋キラー,乃紫,初恋キラー,132,73,2024-05-08
4dmruTsdHIOjfOIeaFitXK,幾億光年,Omoinotake,幾億光年,276,78,2024-01-24
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,160,92,2024-03-25
3jNwPOqdPvQIr5dRT0hzgY,タイムパラドックス,Vaundy,タイムパラドックス,226,77,2024-01-07
0teqQ0PYqVDyyXJuPOyMhu,ケセラセラ,Mrs. GREEN APPLE,ANTENNA,272,74,2023-07-04
00Q3uYmFKFVYTRjbsnUq7H,I wonder,Da-iCE,I wonder,157,75,2024-04-17
6jRyCWUAnRVir3OK4jSZvV,さよーならまたいつか！- Sayonara,Kenshi Yonezu,さよーならまたいつか！- Sayonara,201,77,2024-04-08
3FzRKDirkUsApk11WEz1wz,BON,Number_i,No.O -ring-,203,67,2024-05-27
2cxcqKwQtfKq7giphxjzOu,晩餐歌,tuki.,晩餐歌,215,77,2023-09-29
5LkmpgQYtwHtuvASgnLBe1,ダンスホール,Mrs. GREEN APPLE,Inferno & More Hits,203,51,2023-12-01
5BC6kr6etk2Y9J62AyI4i3,青と夏,Mrs. GREEN APPLE,Attitude,270,73,2019-10-01
33qTER0xTXBQPDMSYR1hGX,Dear,Mrs. GREEN APPLE,Dear,311,68,2024-05-19
4sgMbwl9lXGyHcHmtFYGMm,Supernova,aespa,Armageddon - The 1st Album,178,65,2024-05-27
3wJHCry960drNlAUGrJLmz,ただ君に晴れ,ヨルシカ,負け犬にアンコールはいらない,198,76,2018-05-09
7dTW21YAJxnAOiUh7Rtu9S,怪獣の花唄,Vaundy,strobo,224,74,2020-05-27
01vIbnKIo9QDYeqSc7ecoi,相思相愛,aiko,相思相愛,260,75,2024-04-12
7eUt3Ed2PSocfPSVaNhAEI,地獄恋文,tuki.,地獄恋文,167,74,2024-04-16
170XOP1T4MvY9TLTgPw07D,Magic,Mrs. GREEN APPLE,ANTENNA,263,73,2023-07-04
6BBc24r3QbIP4Qt3gdUOtZ,毎日 - Every Day,Kenshi Yonezu,毎日 - Every Day,182,65,2024-05-27
3YML5IHoqWbw9c9vJJvrvM,Soranji,Mrs. GREEN APPLE,ANTENNA,343,71,2023-07-04
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,How Sweet,219,81,2024-05-24
0JcI7OdALbpSFkyKoufRYs,ロマンチシズム,Mrs. GREEN APPLE,Attitude,213,72,2019-10-01
0ShUHmWaz48KgyjaOG7Tpv,ビビデバ,Hoshimachi Suisei,ビビデバ,165,76,2024-03-23
5glPFBAuA1C85tBcVWVzvO,満ちてゆく,Fujii Kaze,満ちてゆく,310,75,2024-03-14
1hAloWiinXLPQUJxrJReb1,アイドル,YOASOBI,THE BOOK 3,211,75,2023-10-04
1H3qOzheTPhE7aVvJOWfvA,美しい鰭,SPITZ,ひみつスタジオ,211,71,2023-05-17
096KHkONhQm4MQNH35mU22,鬼ノ宴,友成空,鬼ノ宴,175,74,2024-01-10
389rEslJY9vh7TZemIA4y7,絶対零度,natori,絶対零度,198,76,2024-04-05
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,183,85,2023-11-03
7o0TPSw494RG2Q4iWmd1v6,唱,Ado,"Ado ""Ready For My Show Playlist""",189,72,2024-02-06
3RvdkNMcSy71m0aT6UF9Uf,水平線,back number,ユーモア,288,71,2023-01-17
0rjYoo3fuxtMWqzRSlwuFN,SQUARE_ONE,Number_i,No.O -ring-,172,61,2024-05-27
5eY7692tmgHB9dbmq6wa2M,晴る,ヨルシカ,晴る,270,76,2024-01-05
18mkDTCwDfZyTJNYieHxhQ,GOAT,Number_i,GOAT,157,72,2024-01-01
6M6ZNRplLNspFEn6Ab3mOv,オレンジ,SPYAIR,オレンジ,235,75,2024-02-14
6CGZ8022XXhjSU5qndKB5V,No-Yes,Number_i,No.O -ring-,162,61,2024-05-27
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,BABYMONS7ER,170,88,2024-04-01
0HrgcrtGZ3ycIFwcQIsl7Y,OK Complex,Number_i,No.O -ring-,148,60,2024-05-27
2jdbZGFp8KVTuk0YxDNL4l,高嶺の花子さん,back number,ラブストーリー,294,72,2014-03-26
7M0dIdZWN1FDcveRdoOzbZ,ビリミリオン,Yuuri,弐,228,71,2023-03-29
2vOAHp8PBBFYqvQUWSoITY,インフェルノ,Mrs. GREEN APPLE,Attitude,211,72,2019-10-01
4GbVhNlk8i8r1ZFSe9R7Tc,Masterplan,BE:FIRST,Masterplan,212,75,2024-04-24
4IfrM44LofE9bSs6TDZS49,W / X / Y,Tani Yuuki,Memories,278,70,2021-12-08
7sditHCsoFw3nHnjFv1BHV,ナハトムジーク,Mrs. GREEN APPLE,ナハトムジーク,262,72,2024-01-16
33KpGlVe9ZCvtOLeETCQPl,会いに行くのに,Aimyon,会いに行くのに,315,67,2024-05-01
0OeTb9sIQTNq313HQHv9TM,春愁,Mrs. GREEN APPLE,Inferno & More Hits,183,43,2023-12-01
7Md0Rk4s9khBtVpSD03bWl,点描の唄,Mrs. GREEN APPLE,Inferno & More Hits,307,41,2023-12-01
6nIoYpfSvie3Ln46dyi8FC,冬と春,back number,冬と春,256,72,2024-01-24
49F3htNmwzPKFycPdOrDvf,Subtitle,OFFICIAL HIGE DANDISM,Subtitle,305,71,2022-10-12
0GWNtMohuYUEHVZ40tcnHF,SPECIALZ,King Gnu,SPECIALZ,238,79,2023-09-01
0YTM7bCx451c6LQbkddy4Q,勇者,YOASOBI,THE BOOK 3,194,72,2023-10-04
