song_id,title,artist,album,duration,popularity,release_date
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,How Sweet,219,81,2024-05-24
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,FACE,212,89,2023-03-24
4sgMbwl9lXGyHcHmtFYGMm,Supernova,aespa,Armageddon - The 1st Album,178,65,2024-05-27
19D8LNpWwIPpi6hs9BG7dq,Bubble Gum,NewJeans,How Sweet,200,78,2024-05-24
6i8MbzVn4nzyjUcSoVcz7B,Armageddon,aespa,Armageddon - The 1st Album,196,74,2024-05-27
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,183,85,2023-11-03
0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),Jimin,FACE,212,76,2023-03-24
59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,Jimin,Set Me Free Pt.2,200,80,2023-03-17
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,160,92,2024-03-25
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,201,79,2023-10-02
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,GOLDEN,206,90,2023-11-03
3k6q0O9JnO2GhvD6C8fs20,Closer Than This,Jimin,Closer Than This,223,79,2023-12-22
1SS0WlKhJewviwEDZ6dWj0,SPOT!,ZICO,SPOT!,167,87,2024-04-26
39gaUtq2z4ejJbno7tWHbL,T.B.H,QWER,1st Mini Album 'MANITO',175,64,2024-04-01
3vnaEaDxMKdBhqA1t0uAwl,Warmth,Lim Young Woong,Warmth,235,63,2024-05-06
2PlsVMcOn6ujc2UEYs2Yat,Home,Lim Young Woong,Warmth,235,63,2024-05-06
21ewxM3YvcdTj7cC0XwznO,Do or Die,Lim Young Woong,Do or Die,205,64,2023-10-09
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,175,100,2024-04-12
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155,99,2024-04-26
1jXkl4Jv3iiX0Maj77witN,HEYA,IVE,IVE SWITCH,189,66,2024-04-29
4WUpMUjdoi47LY7gBQBXe3,Grain of Sand,Lim Young Woong,Grain of Sand,220,63,2023-06-05
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,Layover,182,87,2023-08-11
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,BABYMONS7ER,170,88,2024-04-01
45OflED18VsURGw2z0Y6Cv,Girls Never Die,tripleS,<ASSEMBLE24>,187,71,2024-05-08
6auT8cRBu3BgPRBrdVBY15,London Boy,Lim Young Woong,Polaroid,244,61,2022-11-15
1OhIn0L6iofnk5bjalWfHq,Sudden Shower,ECLIPSE,"Lovely Runner, Pt. 1 (Original Soundtrack)",233,79,2024-04-08
5XWlyfo0kZ8LF7VSyfS4Ew,Drama,aespa,Drama - The 4th Mini Album,214,84,2023-11-10
2tA3NP12r4niSRhb9Y6AoY,Polaroid,Lim Young Woong,Polaroid,206,59,2022-11-15
6rdkCkjk6D12xRpdMXy0I2,New Jeans,NewJeans,NewJeans 'Super Shy',108,79,2023-07-07
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,179,96,2024-05-17
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,NewJeans 'Super Shy',154,83,2023-07-07
56v8WEnGzLByGsDAXDiv4d,ETA,NewJeans,NewJeans 2nd EP 'Get Up',151,79,2023-07-21
0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',179,80,2022-08-01
0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,V,FRI(END)S,148,91,2024-03-15
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,EASY,164,84,2024-02-19
0vaxYDAuAO1nPolC6bQp7V,Midas Touch,KISS OF LIFE,Midas Touch,162,81,2024-04-03
2RLdkXSaiQjRbey5pvP8Kt,If We Ever Meet Again,Lim Young Woong,IM HERO,274,58,2022-05-02
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210,94,2024-05-17
3lwK3WyKAI5bUuGY1OgGbZ,Smart,LE SSERAFIM,Smart (Remixes),166,79,2024-03-22
0tCr7DoUBSdtdSl0rxZmct,Spring Snow,10CM,"Lovely Runner, Pt. 8 (Original Soundtrack)",201,77,2024-05-14
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,Ditto,185,80,2022-12-19
1qVOxNk88HMDXteLce4fyD,Set The Tone,aespa,Armageddon - The 1st Album,202,64,2024-05-27
2kIUILBPlz4exX9xIFS275,Lucky Girl Syndrome,ILLIT,SUPER REAL ME,140,77,2024-03-25
5Hfnps0jaWFpYg55WOPexG,Alone,Jimin,FACE,211,72,2023-03-24
2pIUpMhHL6L9Z5lnKxJJr9,Attention,NewJeans,NewJeans 1st EP 'New Jeans',180,77,2022-08-01
0aZG8KWrpRnsGL0loUkfSj,plot twist,TWS,TWS 1st Mini Album 'Sparkling Blue',152,74,2024-01-22
2vNPGH1x5ZwxTjlvzLCyc2,Fate,(G)I-DLE,2,161,74,2024-01-29
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,NewJeans 'OMG',212,81,2023-01-02
3OdIiWnYRHPYtC313Z0Bwy,Face-off,Jimin,FACE,229,73,2023-03-24
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,228,95,2024-04-18
