song_id,title,artist,album,duration,popularity,release_date
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,274,98,2024-05-04
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155,99,2024-04-26
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),Post Malone,I Had Some Help,178,96,2024-05-10
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,Houdini,227,0,2024-05-31
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210,94,2024-05-17
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",171,11,2024-05-31
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,Espresso,175,100,2024-04-12
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Pink Skies,194,84,2024-05-24
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,HIT ME HARD AND SOFT,179,96,2024-05-17
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,Unreal Unearth: Unheard,251,90,2024-03-22
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,303,95,2024-05-17
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,BAND4BAND (feat. Lil Baby),140,85,2024-05-23
2tudvzsrR56uom6smgOcSf,Like That,Future,WE DON'T TRUST YOU,267,94,2024-03-22
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",218,91,2024-04-05
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,228,95,2024-04-18
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180,91,2024-04-05
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,218,90,2024-04-18
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,227,90,2023-08-25
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,One of Wun,144,85,2024-05-10
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,182,92,2022-10-14
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,142,98,2024-03-19
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,261,91,2024-05-17
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),210,92,2023-09-15
77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,euphoria,383,93,2024-04-30
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,172,89,2024-05-10
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,Gata Only,222,98,2024-02-02
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,What Happens Now?,171,92,2024-02-16
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,228,93,2024-03-08
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),Morgan Wallen,One Thing At A Time,181,85,2023-03-03
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,Fireworks & Rollerblades,161,90,2024-04-05
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,One Thing At A Time,163,84,2023-03-03
28drn6tQo95MRvO0jQEo5C,Type Shit,Future,WE DON'T TRUST YOU,228,90,2024-03-22
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,159,96,2022-09-16
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,Saturn,186,93,2024-02-22
6fPan2saHdFaIHuTSatORv,L’AMOUR DE MA VIE,Billie Eilish,HIT ME HARD AND SOFT,333,90,2024-05-17
2F3N9tdombb64aW6VtZOdo,Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT,261,87,2024-04-18
2prqm9sPLj10B4Wg0wE5x9,BLUE,Billie Eilish,HIT ME HARD AND SOFT,343,90,2024-05-17
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,180,90,2017-07-21
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,Something in the Orange,228,88,2022-04-22
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,191,92,2023-07-28
6UmKnXmG7VmYqFnmSPOfRj,Get It Sexyy,Sexyy Red,In Sexyy We Trust,148,66,2024-05-24
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,Scared To Start,159,90,2024-01-12
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),210,82,2024-05-16
6TGd66r0nlPaYm3KIoI7ET,THE GREATEST,Billie Eilish,HIT ME HARD AND SOFT,293,89,2024-05-17
5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,One Thing At A Time,157,84,2023-03-03
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,177,86,2023-03-03
5A8xI7PN4WDe9e61xEdt94,Yeah Glo!,GloRilla,Ehhthang Ehhthang,142,80,2024-04-05
4QTlxavdQGUVitxAvQqqkU,Mmhmm,BigXthaPlug,THE BIGGEST,119,82,2023-12-01
0W0iAC1VGlB82PI6elxFYf,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT,254,83,2024-04-18
2Dct3GykKZ58hpWRFfe2Qd,Heading South,Zach Bryan,Heading South,171,85,2019-09-30
1o9JJeBKlVxQ9O4j5Qd4Vh,Give Me Everything - Stripped Down,Archer Marsh,Sequēns,132,62,2022-12-01
3DnsQ5O4uJw3MlYgvBJSCq,Maxed Out,Bayker Blankenship,Maxed Out,172,67,2024-04-19
1Xevt8UUzfEm17ewfSdsiF,No Face,Ghostface Killah,Set The Tone (Guns & Roses),275,64,2024-05-10
6NjWCIYu1W8xa3HIvcIhd4,Nasty,Tinashe,Nasty,176,77,2024-04-12
3oPMkgBRDSRt83Y9kFLiej,BBL Drizzy,Santea2,BBL Drizzy,214,0,2024-05-06
1aHy1ipWQRNauI0ee9uYfi,Fall Back,Lithe,Fall Back / Selfish Game,129,86,2024-03-21
0uHrMbMv3c78398pIANDqR,Europapa,Joost,Europapa,160,87,2024-02-29
0hkoQgoqic1qQtxPOudmrx,Amor,emmanuellcortess_,Memorias <3,202,73,2023-07-28
0HGItm7Ox9AnHZbx26nkE4,HEAT STICK,Shoreline Mafia,HEAT STICK,137,78,2024-05-10
4sgMbwl9lXGyHcHmtFYGMm,Supernova,aespa,Armageddon - The 1st Album,178,65,2024-05-27
48lxT5qJF0yYyf2z4wB4xW,Pedro,Jaxomy,Pedro,144,91,2024-03-29
57uiO4cG6bK5yq51BJTvyE,Jálale alv,Bb trickz,Jálale alv,109,78,2024-05-02
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,184,83,2023-09-22
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,192,84,2023-09-22
55ikcenXPbQdzCnO1sOuYg,I Was Made For Lovin’ You - from The Fall Guy,YUNGBLUD,I Was Made For Lovin' You (from The Fall Guy),261,71,2024-04-26
33oyHkoS7H92RWsecOKn6u,Set My Heart On Fire (I'm Alive x And The Beat Goes On),Majestic,Set My Heart On Fire (I'm Alive x And The Beat Goes On),179,72,2024-05-03
1xeIvccuZq4DiqqmZDSbAg,Ronald,Falling In Reverse,Ronald,196,77,2024-05-07
3laLiRlOtNA6HBKklPSE1E,Ojitos Rojos,Julio Caesar,Ojitos Rojos,181,67,2024-05-04
7BhTnzUbMCh4G7El1RlxuD,OKAY,JT,OKAY (Versions),164,68,2024-04-24
73c7iqH4lCVqu4tm66i0tY,Risk,Gracie Abrams,Risk,191,83,2024-05-01
5VZ0soW5syQfefCUj603DW,MASHA ULTRAFUNK,HISTED,MASHA ULTRAFUNK,93,80,2024-03-07
7leW1Dmvs9A4oDh9i5Qwpz,These Words,Badger,These Words,136,83,2024-04-05
62HKW77nt6tudsIHXT2A0M,Come back to me,RM,"Right Place, Wrong Person",388,75,2024-05-24
5jFA0f4ZDGLbQP4nxzL8D4,HAY LUPITA,Lomiiel,HAY LUPITA,105,74,2024-03-28
7JxexWxny7yJ3slTLmWz2U,360,Charli XCX,360,133,80,2024-05-10
4rHsZed1xDsqr92JPLlxxo,Figure It Out,ian,Valedictorian,94,66,2024-05-17
4pkb8SbRGeHAvdb87v9rpf,Miles On It,Marshmello,Miles On It,168,84,2024-05-03
2Gt7fjNlx901pPRkvBiNBZ,Take Me Back To Eden,Sleep Token,Take Me Back To Eden,500,75,2023-05-19
32fSZSbxeVoiZShMQKLc6Z,My Kink Is Karma,Chappell Roan,The Rise and Fall of a Midwest Princess,222,79,2023-09-22
5YO44oPkpH4zeinnihUpIR,Throw Some Ass,Sofi Tukker,Throw Some Ass,182,69,2024-05-03
3HpaV46FMvO52VbH0wuxpP,Guard Down,August Moon,The Idea of You (Original Motion Picture Soundtrack),153,72,2024-05-02
1De425SCFJULIHbcmeebUw,LET THE WORLD BURN,Chris Grey,LET THE WORLD BURN,163,80,2024-03-08
7Mg5CBO37Rifk2RyDJ8fzd,Boogieman,EBK Jaaybo,Boogieman,131,77,2024-04-24
4YnmQG1fnJR9LnTZtix70T,WYA REMIX RED,J Abdiel,WYA REMIX RED,321,72,2024-05-10
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,258,77,2023-09-22
1zOgXnODZUp87IGbF3b8YB,HIND'S HALL,Macklemore,HIND'S HALL,168,79,2024-05-10
62QValXcWLH5RSnZRFeKKl,Toro,Remi Wolf,Toro / Alone in Miami,175,69,2024-05-10
6WTFHKrnZpwEBLRS10Ylqs,misses,Dominic Fike,14 minutes,74,78,2024-05-03
7iQMm50NNwlUIRWhONZR2k,Wind Up Missin’ You,Tucker Wetmore,Wind Up Missin’ You,166,70,2024-03-29
7ddVpLW467CLYffbPRQNmH,Take A Bite,beabadoobee,Take A Bite,158,78,2024-05-09
53IRnAWx13PYmoVYtemUBS,Femininomenon,Chappell Roan,The Rise and Fall of a Midwest Princess,219,78,2023-09-22
